Rank,University Name,Mean,Faculty,Publications,ml,nlp,vision,ai,theory,db,security,robotics,network,eda,se,publication_per_faculty
225,University College Dublin ,3.8,18,42,0,2,0,4,0,0,0,0,0,0,1,0.0
225,University of Helsinki ,3.8,17,59,3,0,0,4,0,0,0,0,0,0,0,0.0
225,University of Ottawa ,3.8,9,42,0,1,0,1,0,0,0,0,0,0,0,0.0
225,VU Amsterdam ,3.8,15,50,2,1,0,6,0,0,1,1,0,0,0,0.0
232,National Chiao Tung University ,3.7,14,85,1,0,5,3,0,0,0,1,0,0,0,0.0
232,University of Crete ,3.7,7,52,0,0,3,0,0,0,0,0,0,0,0,0.0
234,HUST ,3.6,13,70,1,0,2,4,0,3,0,0,0,2,0,0.0
234,University of Haifa ,3.6,8,66,3,1,1,0,2,1,0,0,0,0,0,0.0
236,IIT Hyderabad ,3.5,8,48,2,2,1,0,1,1,0,0,0,0,0,0.0
236,Univ. of Maryland - Baltimore County ,3.5,10,52,1,2,1,5,0,0,0,1,0,0,0,0.0
236,University of Glasgow ,3.5,11,52,1,1,0,1,0,0,0,1,0,0,0,0.0
236,Université Paris Dauphine ,3.5,11,90,2,1,0,6,0,0,0,0,0,0,0,0.0
236,Waseda University ,3.5,6,38,0,0,2,0,0,0,0,0,0,0,0,0.0
241,Friedrich Schiller University Jena ,3.4,7,39,1,1,1,1,0,0,0,0,0,0,0,0.0
241,Georgetown University ,3.4,8,49,1,3,0,2,2,0,1,0,0,0,0,0.0
241,Illinois Institute of Technology ,3.4,7,55,1,0,3,2,0,0,2,0,0,0,0,0.0
241,TU Kaiserslautern ,3.4,7,46,2,0,1,2,0,0,0,0,0,0,0,0.0
241,UFMG ,3.4,23,26,0,1,1,0,0,1,0,4,0,0,0,0.0
241,UNIST ,3.4,13,80,4,0,6,0,0,0,0,3,0,1,0,0.0
241,University of Kentucky ,3.4,8,46,0,1,2,4,0,0,0,0,0,0,0,0.0
248,Concordia University ,3.3,10,60,2,0,4,0,0,0,0,0,0,0,0,0.0
248,Qatar Computing Research Institute ,3.3,12,110,0,10,0,1,0,1,0,0,0,0,0,0.0
248,TU Dresden ,3.3,8,51,0,0,2,1,0,0,0,0,0,0,0,0.0
248,University of A Coruña ,3.3,12,46,0,2,3,0,0,0,0,0,0,0,0,0.0
248,University of Bath ,3.3,12,63,1,0,5,2,0,0,0,0,0,0,0,0.0
248,University of Mannheim ,3.3,5,55,0,3,0,1,0,2,0,0,0,0,0,0.0
248,University of New Hampshire ,3.3,4,48,1,0,0,1,0,0,1,0,0,0,0,0.0
248,University of Queensland ,3.3,10,47,0,0,2,3,0,0,0,1,0,0,0,0.0
248,University of St Andrews ,3.3,7,20,0,0,1,2,0,0,0,0,0,0,0,0.0
257,Aarhus University ,3.2,10,51,2,0,0,1,2,4,0,0,0,0,0,0.0
257,Drexel University ,3.2,7,44,2,1,2,2,0,0,0,0,0,0,0,0.0
257,IIIT Delhi ,3.2,15,48,0,2,2,3,1,1,0,0,0,0,0,0.0
257,KTH Royal Institute of Technology ,3.2,16,49,3,0,2,0,1,1,1,1,0,0,1,0.0
257,Karlsruhe Institute of Technology ,3.2,10,56,0,0,1,0,0,0,2,3,0,1,0,0.0
257,Royal Holloway University of London ,3.2,13,64,4,1,0,5,0,0,0,0,0,0,0,0.0
257,University of Pisa ,3.2,13,21,2,0,0,0,1,1,0,0,0,0,0,0.0
264,Aalborg University ,3.1,14,39,0,1,0,4,0,6,0,0,0,0,0,0.0
264,Birkbeck University of London ,3.1,10,62,0,0,1,5,0,1,0,0,0,0,0,0.0
264,Bocconi University ,3.1,7,50,5,2,0,1,1,0,0,0,0,0,0,0.0
264,Dartmouth College ,3.1,9,43,0,1,0,1,1,0,0,1,0,0,0,0.0
264,Korea University ,3.1,9,42,1,2,2,3,0,0,0,1,0,0,1,0.0
264,NTUA ,3.1,8,34,0,1,0,2,0,1,0,1,0,0,0,0.0
264,Queen's University Belfast ,3.1,8,44,0,1,1,2,0,0,0,0,0,0,1,0.0
264,University of Göttingen ,3.1,8,40,2,0,2,0,0,0,0,1,0,0,0,0.0
264,Washington State University ,3.1,9,59,1,0,0,3,0,0,0,0,0,3,0,0.0
273,Colorado School of Mines ,3.0,4,47,0,0,0,2,0,0,0,1,0,0,0,0.0
273,HSE University ,3.0,8,46,3,1,1,0,0,0,0,0,0,0,0,0.0
273,Heriot-Watt University ,3.0,14,64,0,6,0,1,0,0,0,2,0,0,0,0.0
273,University of Aberdeen ,3.0,12,51,1,2,0,4,0,0,0,0,0,0,0,0.0
273,University of Massachusetts Lowell ,3.0,10,44,0,3,0,1,0,0,0,0,0,0,0,0.0
273,University of Sussex ,3.0,5,37,1,2,1,0,0,0,0,0,0,0,0,0.0
273,University of Vienna ,3.0,6,51,2,1,0,4,0,0,0,0,0,0,0,0.0
273,Vanderbilt University ,3.0,16,32,2,1,2,2,0,0,1,0,0,0,1,0.0
273,Wayne State University ,3.0,9,39,1,0,3,1,0,0,0,0,0,0,0,0.0
282,University of Auckland ,2.9,14,29,2,0,1,4,0,1,0,0,0,0,0,0.0
282,University of Düsseldorf ,2.9,7,38,0,1,1,2,0,0,0,0,0,0,0,0.0
282,University of Hamburg ,2.9,5,35,0,1,0,0,0,0,0,3,0,0,0,0.0
282,University of Leeds ,2.9,11,45,0,2,2,6,0,0,0,1,0,0,0,0.0
282,University of Padova ,2.9,8,38,0,1,1,4,0,0,0,0,0,0,0,0.0
287,ETS Montreal ,2.8,14,67,4,0,8,0,0,0,0,0,0,0,0,0.0
287,IIT Gandhinagar ,2.8,6,31,1,0,1,2,0,0,0,0,0,0,0,0.0
287,JKU Linz ,2.8,6,25,2,0,0,2,0,0,0,0,0,0,1,0.0
